BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,
TP1_base_v9.nlogo,,,,,,,,,,,,,,
end_t2,,,,,,,,,,,,,,
11/08/2020 21:01:03:752 +0000,,,,,,,,,,,,,,
min-pxcor,max-pxcor,max-pycor,,,,,,,,,,,,
-16,16,16,,,,,,,,,,,,
[run number],taticas_dos_ratos,%_reproducao_Gatos,N-cats,%_de_Ratoeiras,%_reproducao_Ratos,taticas_dos_gatos,%_de_Queijo,N-mice,%_de_Buracos,count cats,count mice,ticks,,
15,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,5,0,150,,"379,9"
29,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,5,0,156,,
21,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,4,0,207,,
28,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,4,0,262,,
19,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,278,,
4,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,2,279,,
18,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,286,,
10,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,4,0,286,,
16,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,3,0,288,,
12,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,2,295,,
27,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,2,0,301,,
1,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,304,,
14,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,345,,
23,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,2,363,,
11,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,364,,
3,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,38,0,377,,
7,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,31,0,386,,
5,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,44,0,390,,
20,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,395,,
24,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,2,403,,
8,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,2,0,411,,
6,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,1,0,434,,
2,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,1,0,456,,
26,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,2,471,,
13,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,1,0,478,,
22,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,0,1,483,,
9,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,53,0,527,,
17,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,52,0,622,,
30,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,41,0,659,,
25,tarefa_2_tatica_1,10,5,2,80,tarefa_2_tatica_1,2,10,2,45,0,741,,
